Mike Ogrysko
java SortComparison "rev50.dat" "TMS6rev50out.dat"
Reading "rev50.dat" and writing to "TMS6rev50out.dat"
Running a Traditional MergeSort
MergeSort: Comparing 50 to 49
MergeSort: Swapping 50 and 49
MergeSort: Comparing 48 to 47
MergeSort: Swapping 48 and 47
MergeSort: Comparing 49 to 47
MergeSort: Swapping 49 and 47
MergeSort: Comparing 49 to 48
MergeSort: Swapping 49 and 48
MergeSort: Comparing 46 to 45
MergeSort: Swapping 46 and 45
MergeSort: Comparing 45 to 44
MergeSort: Swapping 45 and 44
MergeSort: Comparing 47 to 44
MergeSort: Swapping 47 and 44
MergeSort: Comparing 47 to 45
MergeSort: Swapping 47 and 45
MergeSort: Comparing 47 to 46
MergeSort: Swapping 47 and 46
MergeSort: Comparing 43 to 42
MergeSort: Swapping 43 and 42
MergeSort: Comparing 42 to 41
MergeSort: Swapping 42 and 41
MergeSort: Comparing 40 to 39
MergeSort: Swapping 40 and 39
MergeSort: Comparing 39 to 38
MergeSort: Swapping 39 and 38
MergeSort: Comparing 41 to 38
MergeSort: Swapping 41 and 38
MergeSort: Comparing 41 to 39
MergeSort: Swapping 41 and 39
MergeSort: Comparing 41 to 40
MergeSort: Swapping 41 and 40
MergeSort: Comparing 44 to 38
MergeSort: Swapping 44 and 38
MergeSort: Comparing 44 to 39
MergeSort: Swapping 44 and 39
MergeSort: Comparing 44 to 40
MergeSort: Swapping 44 and 40
MergeSort: Comparing 44 to 41
MergeSort: Swapping 44 and 41
MergeSort: Comparing 44 to 42
MergeSort: Swapping 44 and 42
MergeSort: Comparing 44 to 43
MergeSort: Swapping 44 and 43
MergeSort: Comparing 37 to 36
MergeSort: Swapping 37 and 36
MergeSort: Comparing 36 to 35
MergeSort: Swapping 36 and 35
MergeSort: Comparing 34 to 33
MergeSort: Swapping 34 and 33
MergeSort: Comparing 33 to 32
MergeSort: Swapping 33 and 32
MergeSort: Comparing 35 to 32
MergeSort: Swapping 35 and 32
MergeSort: Comparing 35 to 33
MergeSort: Swapping 35 and 33
MergeSort: Comparing 35 to 34
MergeSort: Swapping 35 and 34
MergeSort: Comparing 31 to 30
MergeSort: Swapping 31 and 30
MergeSort: Comparing 30 to 29
MergeSort: Swapping 30 and 29
MergeSort: Comparing 28 to 27
MergeSort: Swapping 28 and 27
MergeSort: Comparing 27 to 26
MergeSort: Swapping 27 and 26
MergeSort: Comparing 29 to 26
MergeSort: Swapping 29 and 26
MergeSort: Comparing 29 to 27
MergeSort: Swapping 29 and 27
MergeSort: Comparing 29 to 28
MergeSort: Swapping 29 and 28
MergeSort: Comparing 32 to 26
MergeSort: Swapping 32 and 26
MergeSort: Comparing 32 to 27
MergeSort: Swapping 32 and 27
MergeSort: Comparing 32 to 28
MergeSort: Swapping 32 and 28
MergeSort: Comparing 32 to 29
MergeSort: Swapping 32 and 29
MergeSort: Comparing 32 to 30
MergeSort: Swapping 32 and 30
MergeSort: Comparing 32 to 31
MergeSort: Swapping 32 and 31
MergeSort: Comparing 38 to 26
MergeSort: Swapping 38 and 26
MergeSort: Comparing 38 to 27
MergeSort: Swapping 38 and 27
MergeSort: Comparing 38 to 28
MergeSort: Swapping 38 and 28
MergeSort: Comparing 38 to 29
MergeSort: Swapping 38 and 29
MergeSort: Comparing 38 to 30
MergeSort: Swapping 38 and 30
MergeSort: Comparing 38 to 31
MergeSort: Swapping 38 and 31
MergeSort: Comparing 38 to 32
MergeSort: Swapping 38 and 32
MergeSort: Comparing 38 to 33
MergeSort: Swapping 38 and 33
MergeSort: Comparing 38 to 34
MergeSort: Swapping 38 and 34
MergeSort: Comparing 38 to 35
MergeSort: Swapping 38 and 35
MergeSort: Comparing 38 to 36
MergeSort: Swapping 38 and 36
MergeSort: Comparing 38 to 37
MergeSort: Swapping 38 and 37
MergeSort: Comparing 25 to 24
MergeSort: Swapping 25 and 24
MergeSort: Comparing 23 to 22
MergeSort: Swapping 23 and 22
MergeSort: Comparing 24 to 22
MergeSort: Swapping 24 and 22
MergeSort: Comparing 24 to 23
MergeSort: Swapping 24 and 23
MergeSort: Comparing 21 to 20
MergeSort: Swapping 21 and 20
MergeSort: Comparing 20 to 19
MergeSort: Swapping 20 and 19
MergeSort: Comparing 22 to 19
MergeSort: Swapping 22 and 19
MergeSort: Comparing 22 to 20
MergeSort: Swapping 22 and 20
MergeSort: Comparing 22 to 21
MergeSort: Swapping 22 and 21
MergeSort: Comparing 18 to 17
MergeSort: Swapping 18 and 17
MergeSort: Comparing 17 to 16
MergeSort: Swapping 17 and 16
MergeSort: Comparing 15 to 14
MergeSort: Swapping 15 and 14
MergeSort: Comparing 14 to 13
MergeSort: Swapping 14 and 13
MergeSort: Comparing 16 to 13
MergeSort: Swapping 16 and 13
MergeSort: Comparing 16 to 14
MergeSort: Swapping 16 and 14
MergeSort: Comparing 16 to 15
MergeSort: Swapping 16 and 15
MergeSort: Comparing 19 to 13
MergeSort: Swapping 19 and 13
MergeSort: Comparing 19 to 14
MergeSort: Swapping 19 and 14
MergeSort: Comparing 19 to 15
MergeSort: Swapping 19 and 15
MergeSort: Comparing 19 to 16
MergeSort: Swapping 19 and 16
MergeSort: Comparing 19 to 17
MergeSort: Swapping 19 and 17
MergeSort: Comparing 19 to 18
MergeSort: Swapping 19 and 18
MergeSort: Comparing 12 to 11
MergeSort: Swapping 12 and 11
MergeSort: Comparing 11 to 10
MergeSort: Swapping 11 and 10
MergeSort: Comparing 9 to 8
MergeSort: Swapping 9 and 8
MergeSort: Comparing 8 to 7
MergeSort: Swapping 8 and 7
MergeSort: Comparing 10 to 7
MergeSort: Swapping 10 and 7
MergeSort: Comparing 10 to 8
MergeSort: Swapping 10 and 8
MergeSort: Comparing 10 to 9
MergeSort: Swapping 10 and 9
MergeSort: Comparing 6 to 5
MergeSort: Swapping 6 and 5
MergeSort: Comparing 5 to 4
MergeSort: Swapping 5 and 4
MergeSort: Comparing 3 to 2
MergeSort: Swapping 3 and 2
MergeSort: Comparing 2 to 1
MergeSort: Swapping 2 and 1
MergeSort: Comparing 4 to 1
MergeSort: Swapping 4 and 1
MergeSort: Comparing 4 to 2
MergeSort: Swapping 4 and 2
MergeSort: Comparing 4 to 3
MergeSort: Swapping 4 and 3
MergeSort: Comparing 7 to 1
MergeSort: Swapping 7 and 1
MergeSort: Comparing 7 to 2
MergeSort: Swapping 7 and 2
MergeSort: Comparing 7 to 3
MergeSort: Swapping 7 and 3
MergeSort: Comparing 7 to 4
MergeSort: Swapping 7 and 4
MergeSort: Comparing 7 to 5
MergeSort: Swapping 7 and 5
MergeSort: Comparing 7 to 6
MergeSort: Swapping 7 and 6
MergeSort: Comparing 13 to 1
MergeSort: Swapping 13 and 1
MergeSort: Comparing 13 to 2
MergeSort: Swapping 13 and 2
MergeSort: Comparing 13 to 3
MergeSort: Swapping 13 and 3
MergeSort: Comparing 13 to 4
MergeSort: Swapping 13 and 4
MergeSort: Comparing 13 to 5
MergeSort: Swapping 13 and 5
MergeSort: Comparing 13 to 6
MergeSort: Swapping 13 and 6
MergeSort: Comparing 13 to 7
MergeSort: Swapping 13 and 7
MergeSort: Comparing 13 to 8
MergeSort: Swapping 13 and 8
MergeSort: Comparing 13 to 9
MergeSort: Swapping 13 and 9
MergeSort: Comparing 13 to 10
MergeSort: Swapping 13 and 10
MergeSort: Comparing 13 to 11
MergeSort: Swapping 13 and 11
MergeSort: Comparing 13 to 12
MergeSort: Swapping 13 and 12
MergeSort: Comparing 26 to 1
MergeSort: Swapping 26 and 1
MergeSort: Comparing 26 to 2
MergeSort: Swapping 26 and 2
MergeSort: Comparing 26 to 3
MergeSort: Swapping 26 and 3
MergeSort: Comparing 26 to 4
MergeSort: Swapping 26 and 4
MergeSort: Comparing 26 to 5
MergeSort: Swapping 26 and 5
